"COMP";"REGIAO";"UF";CO_IBGE;"MUNICIPIO";"MOTIVO_DESABILITACAO";"CNES";"NOME_ESTABELECIMENTO";"RAZAO_SOCIAL";"TP_GESTAO";"CO_TIPO_UNIDADE";"DS_TIPO_UNIDADE";"NATUREZA_JURIDICA";"DESC_NATUREZA_JURIDICA";"NO_LOGRADOURO";"NU_ENDERECO";"NO_COMPLEMENTO";"NO_BAIRRO";"CO_CEP";"NU_TELEFONE";"NO_EMAIL";LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS;UTI_ADULTO_EXIST;UTI_ADULTO_SUS;UTI_PEDIATRICO_EXIST;UTI_PEDIATRICO_SUS;UTI_NEONATAL_EXIST;UTI_NEONATAL_SUS;UTI_QUEIMADO_EXIST;UTI_QUEIMADO_SUS;UTI_CORONARIANA_EXIST;UTI_CORONARIANA_SUS
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000485";"FUNDACAO ALTINO VENTURA";"FUNDACAO ALTINO VENTURA";"D";"07";"HOSPITAL ESPECIALIZADO";"3069";"HOSPITAL_FILANTRÓPICO";"AV MAURICIO DE NASSAU";"2075";"BLOCO 01";"IPUTINGA";"50731490";"81 33024300";;"30";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000566";"HOSPITAL MARIA LUCINDA";"FUNDACAO MANOEL DA SILVA ALMEIDA";"D";"05";"HOSPITAL GERAL";"3069";"HOSPITAL_FILANTRÓPICO";"AV PARNAMIRIM";"095";;"PARNAMIRIM";"52060000";"(81)32674200/4201";"secretaria@hospitalmarialucinda.org";"242";"202";"56";"22";"16";"15";"40";"7";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000582";"HOSPITAL DE CANCER DE PERNAMBUCO";"SOCIEDADE PERNAMBUCANA DO COMBATE AO CANCER";"E";"07";"HOSPITAL ESPECIALIZADO";"3999";"HOSPITAL_FILANTRÓPICO";"AVENIDA CRUZ CABUGA";"1597";;"SANTO AMARO";"50040000";"(81)32178000";"hcp@hosp.org.br";"263";"263";"35";"35";"35";"35";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000655";"HOSPITAL DA RESTAURACAO";"SECRETARIA DE SAUDE";"E";"05";"HOSPITAL GERAL";"1023";"HOSPITAL_PÚBLICO";"AV AGAMENON MAGALHAES";"S/N";;"DERBY";"52010040";"(81)31815444";"hrdiger@gmail.com";"835";"822";"66";"53";"48";"40";"16";"11";"0";"0";"2";"2";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000671";"US 153 POLICLINICA E MATERNIDADE ARNALDO MARQUES";"MUNICIPIO DO RECIFE";"M";"05";"HOSPITAL GERAL";"1244";"HOSPITAL_PÚBLICO";"AV DOIS RIOS";"S/N";;"IBURA";"51230000";"33551815/1815/1820";"pemarnaldomarques@yahoo.com.br";"65";"56";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000701";"US 165 MATERNIDADE BANDEIRA FILHO";"MUNICIPIO DO RECIFE";"M";"07";"HOSPITAL ESPECIALIZADO";"1244";"HOSPITAL_PÚBLICO";"RUA LONDRINA";"S/N";;"AFOGADOS";"50770400";"8133552230/2205";"mpb.filho@outlouk.com";"44";"44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000809";"FUNDACAO HEMOPE";"FUNDACAO DE HEMATOLOGIA E HEMOTERAPIA DE PERNAMBUCO";"E";"07";"HOSPITAL ESPECIALIZADO";"1147";"HOSPITAL_PÚBLICO";"RUA JOAQUIM NABUCO";"171";;"GRACAS";"52010300";"(81)3824695";"sahc@hemope.pe.gov.br";"62";"62";"4";"4";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000930";"US 164 CENTRO DE REIDRATACAO E URG PED M CRAVO GAMA";"FUNDO MUNICIPAL DE SAUDE";"M";"07";"HOSPITAL ESPECIALIZADO";"1244";"HOSPITAL_PÚBLICO";"AVENIDA RECIFE";"810";;"ESTANCIA";"50870901";"(81) 33556651/6652";"cravogama@hotmail.com";"50";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0000981";"HOSPITAL CORREIA PICANCO";"SECRETARIA DE SAUDE";"E";"05";"HOSPITAL GERAL";"1147";"HOSPITAL_PÚBLICO";"RUA PADRE ROMA";"149";;"TAMARINEIRA";"52050150";"(81)31843980";"hospcp@saude.pe.gov.br";"77";"77";"10";"10";"5";"5";"5";"5";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0001015";"US 163 HOSPITAL DE PEDIATRIA HELENA MOURA";"MUNICIPIO DO RECIFE";"M";"07";"HOSPITAL ESPECIALIZADO";"1244";"HOSPITAL_PÚBLICO";"RUA CONEGO BARATA";"S/N";;"TAMARINEIRA";"52051020";"33551301/1303";"HOSPITALPEDHELENAMOURA@HOTMAIL.COM";"50";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0001120";"HOSPITAL PORTUGUES";"REAL HOSPITAL PORTUGUES DE BENEFICIENCIA EM PE";"D";"05";"HOSPITAL GERAL";"3999";"HOSPITAL_FILANTRÓPICO";"AV GOVERNADOR AGAMENON MAGALHAES";"4760";;"PAISSANDU";"52010902";"(81)34161122";"provedoria@rhp.com.br";"725";"207";"200";"54";"120";"50";"40";"4";"20";"0";"0";"0";"20";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0001465";"NAPPE";"NUCLEO ATENCAO PSICOSSOCIAL DE PERNAMBUCO LTDA";"M";"07";"HOSPITAL ESPECIALIZADO";"2062";"HOSPITAL_PRIVADO";"RUA CARLOS COELHO";"129";;"BOA VISTA";"50050360";"(81)34237062/7820";"napperecife@gmail.com";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"PE";"261160";"RECIFE";;"0001546";"HOSPITAL PSIQUIATRICO ULYSSES PERNAMBUCANO";"SECRETARIA DE SAUDE";"E";"07";"HOSPITAL ESPECIALIZADO";"1023";"HOSPITAL_PÚBLICO";"ROSA E SILVA";"2130";;"TAMARINEIRA";"52020220";"81 31840310";"hupdiretoria@gmail.com";"115";"115";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"SE";"280030";"ARACAJU";;"0002232";"HOSPITAL SANTA ISABEL";"ASSOCIACAO ARACAJUANA DE BENEFICENCIA";"E";"05";"HOSPITAL GERAL";"3999";"HOSPITAL_FILANTRÓPICO";"SIMEAO SOBRAL";"1312";;"DEZOITO DO FORTE";"49072720";"79 32124900";"dirclin.hsi2023@gmail.com";"253";"202";"50";"40";"20";"10";"10";"10";"20";"20";"0";"0";"0";"0"
"202601";"NORDESTE";"SE";"280030";"ARACAJU";;"0002275";"HOSPITAL SAO JOSE";"HOSPITAL SAO JOSE";"M";"05";"HOSPITAL GERAL";"3999";"HOSPITAL_FILANTRÓPICO";"AV JOAO RIBEIRO";"846";;"SANTO ANTONIO";"49065000";"79 2105-1000";;"111";"76";"16";"15";"16";"15";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"SE";"280030";"ARACAJU";;"0002283";"HOSPITAL DE CIRURGIA";"FUNDACAO DE BENEFICENCIA HOSPITAL DE CIRURGIA";"E";"05";"HOSPITAL GERAL";"3069";"HOSPITAL_FILANTRÓPICO";"AV DESEMBARGADOR MAYNARD";"174";;"CIRURGIA";"49055210";"7921067312";"direcao@fbhc.org.br";"276";"200";"67";"33";"62";"33";"5";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"SE";"280030";"ARACAJU";;"0002372";"HOSPITAL MUNICIPAL ZONA SUL DES FERNANDO FRANCO";"SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU";"M";"05";"HOSPITAL GERAL";"1244";"HOSPITAL_PÚBLICO";"AV TARCISIO DANIEL";"1";;"FAROLANDIA";"49030290";"(79) 32120503";;"30";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"SE";"280030";"ARACAJU";;"0002534";"HOSPITAL UNIVERSITARIO DE SERGIPE HUSE";"EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES EBSERH";"M";"05";"HOSPITAL GERAL";"2011";"HOSPITAL_PRIVADO";"CLAUDIO BATISTA";"505";;"PALESTINA";"49060025";"61 32558365";"afonso.sousa@mec.gov.br";"208";"208";"20";"20";"10";"10";"10";"10";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"SE";"280030";"ARACAJU";;"0002585";"HOSPITAL SAO LUCAS";"SAO LUCAS MEDICO HOSPITALAR S A";"M";"05";"HOSPITAL GERAL";"2054";"HOSPITAL_PRIVADO";"STANLEY SILVEIRA";"33";;"SAO JOSE";"49015400";;;"177";"7";"63";"7";"37";"7";"6";"0";"0";"0";"0";"0";"20";"0"
"202601";"NORDESTE";"SE";"280030";"ARACAJU";;"0002593";"CLINICA SANTA HELENA SUISSA";"CLINICA SANTA HELENA LTDA";"M";"07";"HOSPITAL ESPECIALIZADO";"2062";"HOSPITAL_PRIVADO";"FREI PAULO";"331";;"BAIRRO SAO JOSE";"49015240";"32161400";;"88";"0";"24";"0";"0";"0";"0";"0";"24";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"SE";"280030";"ARACAJU";;"0003085";"CLINICA DE REPOUSO SAO MARCELLO LTDA";"CLINICA DE REPOUSO SAO MARCELLO LTDA";"E";"07";"HOSPITAL ESPECIALIZADO";"2062";"HOSPITAL_PRIVADO";"VISCONDE DE MARACAJU";"490";;"CIDADE NOVA";"49070070";"79 32124400";"financeiro@clinicasaomarcello.com.br";"120";"80";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"SE";"280030";"ARACAJU";;"0003417";"FUNDACAO CLIMEDI";"FUNDACAO CLIMEDI ASSISTENCIA SOCIAL";"M";"07";"HOSPITAL ESPECIALIZADO";"3069";"HOSPITAL_FILANTRÓPICO";"AV BARAO DE MARUIM";"956";;"CENTRO";"49010340";;;"5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0003778";"HOSPITAL ESTADUAL DA MULHER";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"05";"HOSPITAL GERAL";"1023";"HOSPITAL_PÚBLICO";"RUA BARAO DE COTEGIPE";"1153";;"ROMA";"40411900";"(7139950680";"faturamentohm.iff@gmail.com";"163";"163";"10";"10";"10";"10";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0003786";"HOSPITAL ARISTIDES MALTEZ";"LIGA BAHIANA CONTRA O CANCER";"D";"07";"HOSPITAL ESPECIALIZADO";"3999";"HOSPITAL_FILANTRÓPICO";"AV D JOAO VI";"332";;"BROTAS";"40285001";"(71) 3357-6800";"diretoria@aristidesmaltez.org.br";"251";"251";"20";"20";"20";"20";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0003794";"INSTITUTO DE PERINATOLOGIA DA BAHIA";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"07";"HOSPITAL ESPECIALIZADO";"1023";"HOSPITAL_PÚBLICO";"RUA TEIXEIRA DE BARROS";"72";;"BROTAS";"40279080";"(71) 31039316";"iperba.rh@saude.ba.gov.br";"101";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0003808";"HOSPITAL SAO RAFAEL";"HOSPITAL SAO RAFAEL S A";"M";"05";"HOSPITAL GERAL";"2054";"HOSPITAL_PRIVADO";"SAO RAFAEL";"2152";"1 SUBSOLO";"SAO MARCOS";"41253190";"71 32816151";"soservicosdesaude@gmail.com";"290";"19";"19";"19";"13";"13";"6";"6";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0003816";"HOSPITAL UNIVERSITARIO PROFESSOR EDGARD SANTOS";"UNIVERSIDADE FEDERAL DA BAHIA";"D";"05";"HOSPITAL GERAL";"1104";"HOSPITAL_PÚBLICO";"AUGUSTO VIANA";"S/N";;"CANELA";"40110060";;;"357";"347";"40";"30";"30";"20";"10";"10";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0003832";"HOSPITAL SANTA IZABEL";"SANTA CASA DE MISERICORDIA DA BAHIA";"D";"05";"HOSPITAL GERAL";"3999";"HOSPITAL_FILANTRÓPICO";"PRACA CONSELHEIRO ALMEIDA COUTO";"500";;"NAZARE";"40050410";"(71) 2203-8444";"hsi@santacasa.org.br";"460";"146";"126";"24";"101";"17";"23";"5";"2";"2";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0003840";"MATERNIDADE ALBERT SABIN";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"07";"HOSPITAL ESPECIALIZADO";"1023";"HOSPITAL_PÚBLICO";"ESTRADA DO COQUEIRO GRANDE";"S/N";"FAZENDA GRANDE II";"CAJAZEIRAS";"41342395";"(71) 32535353";"sesab.masabin@saude.gov.ba.br";"90";"90";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0003859";"HOSPITAL GERAL ROBERTO SANTOS";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"05";"HOSPITAL GERAL";"1023";"HOSPITAL_PÚBLICO";"ESTRADA SABOEIRO";"S/N";;"SABOEIRO";"41180900";"(71) 3117-7500";;"737";"717";"137";"122";"96";"81";"16";"16";"25";"25";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0003875";"HOSPITAL ANA NERY";"UNIVERSIDADE FEDERAL DA BAHIA";"E";"05";"HOSPITAL GERAL";"1023";"HOSPITAL_PÚBLICO";"RUA SALDANHA MARINHO";"S/N";;"CAIXA D AGUA";"40320010";"(71) 3117-1800";"faturamento@han.net.br";"265";"259";"59";"53";"33";"33";"14";"8";"4";"4";"0";"0";"8";"8"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0003921";"CICAN";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"07";"HOSPITAL ESPECIALIZADO";"1023";"HOSPITAL_PÚBLICO";"AV VASCO DA GAMA";"S/N";;"RIO VERMELHO";"40286902";"(71) 32776866";"cican.contasmedicas@saude.ba.gov.br";"8";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0003980";"HOSPITAL ELADIO LASSERRE";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"05";"HOSPITAL GERAL";"1023";"HOSPITAL_PÚBLICO";"RUA CORONEL AZEVEDO";"S/N";"CAJAZEIRAS II";"CAJAZEIRAS II";"41310295";"7133955719";"jamile.carvalho@iff-ba.org";"144";"140";"10";"10";"10";"10";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0004065";"HOSPITAL ESPECIALIZADO OCTAVIO MANGABEIRA";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"07";"HOSPITAL ESPECIALIZADO";"1023";"HOSPITAL_PÚBLICO";"PRACA CONSELHEIRO JOAO ALFREDO";"S/N";;"PAU MIUDO";"40320350";"(71) 3117-1609";"dgheom@gmail.com";"160";"138";"39";"17";"29";"17";"10";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0004073";"HOSPITAL GERAL ERNESTO SIMOES FILHO";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"05";"HOSPITAL GERAL";"1023";"HOSPITAL_PÚBLICO";"DO PAU MIUDO";"S/N";;"PAU MIUDO";"40320840";;"LUCIANO.BRESSY@SAUDE.BA.GOV.BR";"192";"192";"50";"50";"50";"50";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0004081";"MATERNIDADE MARIA DA CONCEICAO DE JESUS";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"07";"HOSPITAL ESPECIALIZADO";"1023";"HOSPITAL_PÚBLICO";"AV AFRANIO PEIXOTO";"1492";;"COUTOS";"40470630";"(71) 3307-8601";"mmcj.diretoriageral@saude.ba.gov.br";"90";"65";"10";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0004170";"MATERNIDADE TSYLLA BALBINO";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"07";"HOSPITAL ESPECIALIZADO";"1023";"HOSPITAL_PÚBLICO";"LADEIRA DE QUINTAS";"S/N";;"QUINTAS";"40300315";"31162096";"sesab.mtbalbino@saude.ba.gov.br";"93";"93";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0004251";"HOSPITAL PORTUGUES";"REAL SOCIEDADE PORTUGUESA DE BENEFICIENCIA";"D";"05";"HOSPITAL GERAL";"3999";"HOSPITAL_FILANTRÓPICO";"AV PRINCESA ISABEL";"914";;"BARRA AVENIDA";"40140901";"(71) 3203-5555";"hospital@hportugues.com.br";"361";"37";"95";"9";"75";"9";"0";"0";"20";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0004278";"HOSPITAL MARTAGAO GESTEIRA";"LIGA ALVARO BAHIA CONTRA MORTALIDADE INFANTIL";"D";"07";"HOSPITAL ESPECIALIZADO";"3999";"HOSPITAL_FILANTRÓPICO";"RUA JOSE DUARTE";"114";;"TORORO";"40050050";"(71) 3032-3752/3815";"hmg@martagaogesteira.org.br";"239";"239";"42";"42";"2";"2";"30";"30";"10";"10";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0004286";"HOSPITAL JULIANO MOREIRA";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"07";"HOSPITAL ESPECIALIZADO";"1023";"HOSPITAL_PÚBLICO";"AV EDGAR SANTOS";"S/N";;"NARANDIBA";"41211005";"(71)3103-3905";"hjm.dg@saude.ba.gov.br";"101";"101";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0004294";"HOSPITAL GERAL DO ESTADO";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"05";"HOSPITAL GERAL";"1023";"HOSPITAL_PÚBLICO";"AV VASCO DA GAMA";"S/N";;"VASCO DA GAMA";"40230900";"(71) 31175959";"hge.contasmedicas@saude.ba.gov.br";"352";"344";"60";"60";"48";"48";"8";"8";"0";"0";"4";"4";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0004472";"ESPACO NELSON PIRES";"SANATORIO SAO PAULO LTDA";"M";"07";"HOSPITAL ESPECIALIZADO";"2062";"HOSPITAL_PRIVADO";"LADEIRA AQUIDABAN";"91";;"SANTO ANTONIO";"40301500";"(71) 3418-7444/17/14";"graziele.ribeiro@espaconelsonpires.com.br";"70";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0004731";"MATERNIDADE CLIMERIO DE OLIVEIRA";"UNIVERSIDADE FEDERAL DA BAHIA";"E";"07";"HOSPITAL ESPECIALIZADO";"1104";"HOSPITAL_PÚBLICO";"RUA DO LIMOEIRO";"137";;"NAZARE";"40055150";;;"81";"81";"10";"10";"0";"0";"0";"0";"10";"10";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0004987";"HOSPITAL PROFESSOR CARVALHO LUZ";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"05";"HOSPITAL GERAL";"1023";"HOSPITAL_PÚBLICO";"PRACA CONSELHEIRO ALMEIDA COUTO";"512";;"NAZARE";"40050410";"(071)3326-3211";"ivo.ferreira@iff-ba.org";"84";"84";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0005428";"INSTITUTO COUTO MAIA";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"07";"HOSPITAL ESPECIALIZADO";"1023";"HOSPITAL_PÚBLICO";"CORONEL AZEVEDO";"000999";"EDIF CAJAZEIRAS II H";"CAJAZEIRAS II";"41332010";"71 31037153";"ICOM.ADMINISTRCAO@SAUDE.BA.GOV.BR";"160";"130";"50";"20";"50";"20";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0005436";"HOSPITAL ESPECIALIZADO MARIO LEAL";"BAHIA SECRETARIA DE SAUDE DO ESTADO";"E";"07";"HOSPITAL ESPECIALIZADO";"1023";"HOSPITAL_PÚBLICO";"CONDE DO PORTO ALEGRE";"11";;"IAPI";"40330200";"(71) 3117-0155";"sesab.hmleal@saude.ba.gov.br";"30";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"202601";"NORDESTE";"BA";"292740";"SALVADOR";;"0006157";"HOSPITAL HUMBERTO CASTRO LIMA";"INSTITUTO BRASILEIRO DE OFTALMOLOGIA E PREVENCAO DA CEGUEIRA";"D";"07";"HOSPITAL ESPECIALIZADO";"3999";"HOSPITAL_FILANTRÓPICO";"RUA PEDRO LESSA";"118";;"CANELA";"40110050";"3173-8200";"faleconosco@hhcl.org.br";"41";"30";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
